SELFIES,true_LC50[-LOG(mol_L)],guessed_LC50[-LOG(mol_L)]
[C][C][C][C@@][Branch1][Branch1][C][C][Ring1][=Branch1][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O],2.57,2.57
[C][=C][C][=Branch1][=C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][Cl][N][C][=Branch1][C][=O][C][=C][Branch1][#Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][O],6.42,6.42
[C][C][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][N][O],3.18,3.18
[C][N][Branch1][C][C][C][C][/C][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1][C][O][C][=C][\-Ring1][O][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][O],5.61,5.61
[O][=C][Branch2][Ring2][Ring2][C][P][=Branch1][C][=O][Branch1][=N][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][Branch2][O][C][=Branch1][C][=O][C][C][C][Branch1][C][C][C][N][C][C@@H1][Branch1][#Branch2][C][C@H1][Ring1][Branch1][C][Branch1][C][O][=O][C][C][C][C][C][C][Ring1][=Branch1],6.98,6.98
[C][N][C][=Branch1][C][=O][C][N][=C][Branch1][=C][C][=C][Ring1][Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][C][=C][C][C][C][C][Ring1][=Branch1],5.07,5.07
[C][=N][N][C][=C][Ring1][Branch1][C][=Branch1][=Branch1][=N][C][=N][Ring1][=Branch1][O],2.44,2.44
[O][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][N][C][C],3.61,3.61
[C][C][O][C][=C][Branch2][Ring2][Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][C][C][C][Ring1][=Branch1][C][=Branch1][C][=O][O],5.96,5.96
[C][N][Branch1][S][C][C][C][N][C][=Branch1][C][=O][C][C][C][C][O][Ring1][Branch1][C][=N][C][=C][C][=Branch1][P][=C][Branch1][N][C][=C][Ring1][=Branch1][C][=Branch1][Ring2][=N][Ring1][#Branch2][N][O][C][O][C],4.02,4.02
[C][C][C][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][Branch1][=C][C][C][Branch1][Ring2][C][Ring1][#Branch1][Branch1][Ring2][C][Ring1][#Branch2][N][C],4.3,4.3
[O][=N][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],4.13,4.13
[O][=N][N][C][C][N][C][C][Ring1][=Branch1],2.17,2.17
[O][=N][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C],3.26,3.26
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],4.67,4.67
[C][C][N+1][Branch2][Ring1][N][C][C][N][Ring1][=Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][Branch1][#Branch2][C][C][O][C][C][=Branch1][C][=O][O][O-1],2.98,2.98
[C][C][N][Branch1][=Branch1][C][C][N][Ring1][=Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],4.2,4.2
[C][=C][C][=Branch2][Ring1][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][C][=Branch1][C][=O][O][Cl],2.98,2.98
[O][C][Branch2][Ring1][=Branch2][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][N+1][Branch1][C][C][Branch1][C][C][O-1][C][C][C][C][C][Ring2][Ring1][Ring2],2.88,2.88
[C][=C][C][=C][Branch1][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][O][N][C][=C][Branch1][O][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][O][Cl],5.76,5.76
[C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][#Branch2][C][C][C][C][C][Ring1][=Branch1][C][N][O],3.31,3.31
[C][C][N+1][Branch2][Ring2][Branch1][C][C][C][C][Ring1][Branch1][C][N][C][=Branch1][C][=O][C][=C][C][=Branch1][O][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][O][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][C][O-1],3.43,3.43
[C][N][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1],4.16,4.16
[C][N][Branch1][C][C][N][=O],1.58,1.58
[C][C][N][Branch1][C][C][N][=O],1.98,1.98
[O][=N][N][Branch1][Ring1][C][C][C][C],2.49,2.49
[O][=N][N][C][C][C][C][C][Ring1][=Branch1],2.84,2.84
[O][=N][N][Branch1][Ring2][C][C][C][C][C][C],2.98,2.98
[O][=S][=Branch1][C][=O][Branch1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][Branch1][Ring1][N][=O][C],3.22,3.22
[O][=N][N][Branch1][Branch1][C][C][C][C][C][C][C][C],3.79,3.79
[C][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][Branch1][C][C][Branch1][Ring2][C][C][#C][O-1],2.86,2.86
[O][=C][Branch1][C][O][\C][=Branch1][Ring2][=N][\O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C],5.41,5.41
[C][C][Branch2][Ring1][Ring2][C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][N],3.78,3.78
[C][=C][C][=C][Branch1][#C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][C][N][C][C][Ring1][=Branch1][Cl],3.44,3.44
[C][C][N][Branch2][Ring1][Branch2][C][Branch1][C][C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][N][=O],4.59,4.59
[C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],4.41,4.41
[C][N][Branch1][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],3.65,3.65
[C][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],3.41,3.41
[C][C][=N][C][Branch2][Ring1][#C][N][C][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][Branch1][C][I][=C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][O][C][=N][C][Branch1][Ring1][O][C][=N][Ring2][Ring1][#Branch2],4.6,4.6
[O][=C][Branch1][#C][C][=C][Branch1][=Branch1][O][N][=C][Ring1][Branch1][C][C][C][Ring1][Ring1][C][=C][C][=C][Branch1][=N][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][C][Branch1][C][F][Branch1][C][F][F],6.3,6.3
[C][C][C][N][C][=Branch1][C][=O][C][=C][Branch1][#Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][I][N][=C][Ring1][N][O][C][C][C],5.58,5.58
[C][C][Branch2][Ring1][#Branch1][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#C][C][N+1][Branch1][C][C][Branch1][C][C][O-1],3.82,3.82
[C][N][C][C][C][C][C][C][C][Ring1][=Branch1][Branch1][=N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O],3.43,3.43
[O][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][#C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][=C][Ring2][Ring1][C],5.2,5.2
[O][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][=N][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][=C][Ring1][S],4.81,4.81
[C][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O],3.99,3.99
[C][N][Branch1][N][C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2],5.99,5.99
[C][C][Branch1][C][C][Branch1][C][C][C][Branch2][Ring1][#Branch1][C][=Branch1][=N][=C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][N][C][=N][C][=N][Ring1][Branch1][O],5.56,5.56
[C][C][C][C][N][Branch2][Ring1][Branch1][C][Ring1][Branch1][N][Branch1][=C][C][=C][Ring1][Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C],3.94,3.94
[C][C][C][N][C][Branch1][Ring2][C][Ring1][=Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N],3.5,3.5
[C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][=Branch1][C][#N][C][Branch1][=N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#N][N][C][=N][C][=N][Ring1][Branch1],3.77,3.77
[C][C][Branch1][C][C][Branch1][C][C][C][#C][C][=C][C][N][Branch1][C][C][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2],6.41,6.41
[C][C][C][C][P][=Branch1][C][=O][Branch1][Branch1][C][C][C][C][C][C][C][C],5.09,5.09
[C][C][Branch1][C][C][Branch1][C][C][C][=N][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C],3.99,3.99
[C][C][C][C][N][C][Branch1][C][C][C],3.19,3.19
[C][C][=C][Branch2][Ring1][Ring2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][P][=Branch1][C][=S][Branch1][Ring1][O][C][O][C][S][=Branch1][C][=O][=Branch1][C][=O][C],4.48,4.48
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][N][C][=C][C][=Branch1][=Branch1][=N][C][=C][Ring1][=Branch1][Cl],4.2,4.2
[C][C][C][Branch1][C][C][Branch1][Ring1][C][C][C][=N][O][C][=Branch1][Ring2][=C][Ring1][Branch1][N][C][=Branch1][C][=O][C][=C][Branch1][=Branch2][C][=C][C][=C][Ring1][=Branch1][O][C][O][C],6.18,6.18
[C][C][C][C][=Branch2][Ring1][#Branch1][=C][C][=Branch1][C][=O][C][C][Branch1][=Branch1][C][C][Ring1][#Branch1][=O][C][C][C][C][S][C][Ring1][=Branch1][N][O][C][C][Branch1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],6.34,6.34
[C][C][N][C][Branch1][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][O][Ring1][#Branch1],3.85,3.85
[C][C][C][C][C][C][=Branch1][C][=O][N][Branch1][S][N][Branch1][Branch1][C][Ring1][=Branch1][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],5.09,5.09
[C][N][=C][C][N][Branch2][Ring1][#Branch2][C][=Branch1][#C][=C][C][=C][Branch1][=Branch2][C][=C][C][Ring1][=Branch1][=N][Ring1][O][Cl][C][=C][C][=C][C][=C][Ring1][=Branch1][O],5.09,5.09
[C][C][N][Branch1][=Branch1][C][C][N][Ring1][=Branch1][C][=C][Branch2][Ring2][Ring2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][Branch1][=C][C][=C][Branch1][Branch1][C][Ring1][#Branch1][=O][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F][F],5.31,5.31
[C][=C][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][N],3.63,3.63
[C][C][=Branch1][C][=O][N][C][Branch1][Ring2][C][O][C][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1],3.36,3.36
[C][C][Branch1][C][C][N][C][Branch1][C][C][Branch1][C][C][C],2.39,2.39
[C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][S][C][Branch1][Ring1][C][O][N][C][=Branch1][C][=O][C][Branch1][C][Cl][Cl][O],3.62,3.62
[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N],3.11,3.11
[C][O][C][=C][Branch2][Ring1][=Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][=C][N][=C][Branch1][=Branch1][N][=C][Ring1][=Branch1][N][N][O][C],3.25,3.25
[C][C][C][S][P][=Branch1][C][=O][Branch1][Ring2][O][C][C][S][C][C][C],4.44,4.44
[C][C][Branch1][C][C][N][C][C][Branch1][S][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][#N][O],3.13,3.13
[C][=C][C][=Branch2][Ring2][Branch2][=C][C][=C][Ring1][=Branch1][C][Branch1][Ring1][C][#N][C][=C][Branch2][Ring1][Branch2][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][N][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][=N][Ring1][Branch2][Cl][Cl],6.31,6.31
[C][C][Branch2][Ring2][=Branch2][C][Branch2][Ring1][S][N][C][Branch1][Ring2][S][Ring1][Branch1][C][Branch1][Branch1][C][Ring1][Branch1][=O][N][C][=Branch1][C][=O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C],3.72,3.72
[C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=C][Branch2][Ring2][Ring2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][Branch1][=C][C][=C][Branch1][Branch1][C][Ring1][#Branch1][=O][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F][F],5.41,5.41
[C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][=Branch2][N][C][=Branch1][C][=O][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][S][=Branch1][C][=O][=Branch1][C][=O][N],4.43,4.43
[C][C][=C][Branch2][Ring1][#Branch2][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][Cl],6.48,6.48
[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][=N][N][Ring1][=Branch1][Cl],3.81,3.81
[C][N][C][=Branch1][=N][=C][N][=C][Ring1][Branch1][C][O][C][=Branch1][C][=O][N][N+1][=Branch1][C][=O][O-1],4.08,4.08
[C][C][Branch2][Ring1][=C][C][O][C][Ring1][Branch1][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][Cl][Br],5.21,5.21
[C][C][O][P][=Branch1][C][=O][Branch1][#Branch1][N][C][Branch1][C][C][C][O][C][=C][C][=Branch1][S][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][C],4.16,4.16
[C][C][=C][Branch2][Ring1][Ring2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][P][=Branch1][C][=S][Branch1][Ring1][O][C][O][C][S][=Branch1][C][=O][C],4.12,4.12
[C][=C][C][=C][Branch2][Ring1][S][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][Branch1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F][O][F],3.69,3.69
[C][C][O][C][=Branch1][C][=O][C][C][Branch1][Branch2][C][=Branch1][C][=O][O][C][C][S][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C],3.72,3.72
[C][C][S][C][=Branch1][C][=O][N][C][C][C][C][C][C][Ring1][#Branch1],3.87,3.87
[C][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][O][C][C][=Branch1][C][=O][O],4.34,4.34
[C][C][=C][N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=Branch1][=Branch2][=C][Ring1][#Branch1][C][=Branch1][C][=O][O][Cl],4.41,4.41
[C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][Cl][C][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][C][O][C][Branch1][=Branch1][C][Branch1][C][F][F][Branch1][C][F][F],6.03,6.03
[C][C][Branch1][C][C][N][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][S][C][C][=Branch1][=Branch1][=C][Branch1][C][Cl][Cl][Cl],5.52,5.52
[N][Branch1][Ring1][C][C][C][Branch1][=Branch1][C][C][C][Ring1][#Branch1][C][=O],3.5,3.5
[O][C][C][C][Branch1][Ring1][C][N][N][Branch1][Ring1][C][C][C][Ring1][=Branch2],1.74,1.74
[S][=Branch1][C][=O][Branch1][S][C][=C][Branch1][C][N][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][=Branch2][Branch1][Ring1][C][C][=O],3.63,3.63
[S][=Branch1][C][=O][Branch2][Ring1][=Branch1][C][=C][Branch1][C][N][C][=C][Branch1][C][O][C][Branch1][=Branch1][C][Branch1][C][O][=O][=C][Ring1][O][Branch1][Ring1][C][C][=O],4.17,4.17
[S][=Branch1][C][=O][Branch2][Ring1][#Branch1][C][=C][Branch1][C][N][C][=C][Branch1][Ring1][O][C][C][Branch1][=Branch1][C][Branch1][C][N][=O][=C][Ring1][N][Branch1][Ring1][C][C][=O],3.41,3.41
[S][=Branch1][C][=O][Branch2][Ring1][#Branch1][C][=C][Branch1][C][N][C][=C][Branch1][Ring1][O][C][C][Branch1][=Branch1][C][Branch1][C][O][=O][=C][Ring1][N][Branch1][Ring1][C][C][=O],3.76,3.76
[S][=Branch1][C][=O][Branch2][Ring1][#Branch2][C][=C][Branch1][C][N][C][Branch1][C][O][=C][Branch1][Ring1][O][C][C][Branch1][=Branch1][C][Branch1][C][O][=O][=C][Ring1][=N][Branch1][Ring1][C][C][=O],4.2,4.2
[S][=Branch1][C][=O][Branch2][Ring1][=Branch2][C][=C][Branch2][Ring1][Ring1][C][=C][Branch1][=N][C][Branch1][=Branch1][C][Branch1][C][O][=O][C][Ring1][=Branch2][O][O][C][N][Branch1][Ring1][C][C][=O],3.87,3.87
[S][=Branch1][C][=O][Branch2][Ring1][=N][C][=C][Branch1][C][N][C][=C][Branch1][Ring1][O][C][C][Branch1][N][C][Branch1][Branch2][N][C][C][Branch1][C][O][=O][=O][=C][Ring1][S][Branch1][Ring1][C][C][=O],2.8,2.8
[S][=Branch1][C][=O][Branch2][Ring1][#C][C][=C][Branch1][#Branch2][N][S][=Branch1][C][=O][Branch1][C][O][=O][C][=C][Branch1][Ring1][O][C][C][Branch1][=Branch1][C][Branch1][C][O][=O][=C][Ring1][S][Branch1][Ring1][C][C][=O],3.86,3.86
[S][=Branch1][C][=O][Branch2][Ring1][S][C][=C][Branch1][C][N][C][=C][Branch1][Ring1][O][C][C][Branch1][=C][C][Branch1][#Branch2][N][C][C][N][C][C][C][Ring1][Branch1][=O][=C][Ring2][Ring1][C][Branch1][Ring1][C][C][=O],3.93,3.93
[S][=Branch1][C][=O][Branch2][Ring2][Ring2][C][=C][Branch1][C][N][C][=C][Branch1][C][O][C][Branch2][Ring1][C][C][Branch1][=C][N][C][C][N][Branch1][Ring1][C][C][C][C][C][Ring1][#Branch1][=O][=C][Ring2][Ring1][Ring1][Branch1][Ring1][C][C][=O],4.73,4.73
